episode,scenario_idx,scenario_sos,scenario_cost,action_mode,reward,steps,done,terminated,truncated,dead_end,makespan,done_ops,epsilon,loss,replay_size
0,0,14,7433,op,-0.15566666666666676,115,True,False,False,True,895.0,115,0.999,,115
1,0,14,7433,op,-0.1410000000000001,117,True,False,False,True,896.0,117,0.998001,,232
2,0,14,7433,op,-0.12633333333333344,119,True,False,False,True,873.0,119,0.997002999,,351
3,0,14,7433,op,0.6415750560760497,120,True,True,False,False,866.0,120,0.996005996001,,471
4,0,14,7433,op,-0.1410000000000001,117,True,False,False,True,900.0,117,0.995009990004999,0.0009660230716690421,588
5,0,14,7433,op,-0.1410000000000001,117,True,False,False,True,882.0,117,0.994014980014994,0.0036068507470190525,705
6,0,14,7433,op,-0.14833333333333343,116,True,False,False,True,875.0,116,0.993020965034979,0.0014481795951724052,821
7,0,14,7433,op,0.6479339179992675,120,True,True,False,False,843.0,120,0.9920279440699441,0.004296650178730488,941
8,0,14,7433,op,-0.12633333333333344,119,True,False,False,True,885.0,119,0.9910359161258742,0.001669420744292438,1060
9,0,14,7433,op,-0.1410000000000001,117,True,False,False,True,895.0,117,0.9900448802097482,0.0010006886441260576,1177
10,0,14,7433,op,0.668945806980133,120,True,True,False,False,767.0,120,0.9890548353295385,0.001644221949391067,1297
11,0,14,7433,op,-0.2950000000000001,96,True,False,False,True,899.0,96,0.988065780494209,0.0016472924035042524,1393
12,0,14,7433,op,-0.1410000000000001,117,True,False,False,True,871.0,117,0.9870777147137147,0.0017282254993915558,1510
13,0,14,7433,op,-0.19966666666666674,109,True,False,False,True,898.0,109,0.986090636999001,0.0015510395169258118,1619
14,0,14,7433,op,-0.25100000000000006,102,True,False,False,True,899.0,102,0.9851045463620021,0.0013487664982676506,1721
15,0,14,7433,op,-0.17033333333333342,113,True,False,False,True,900.0,113,0.98411944181564,0.0020292841363698244,1834
16,0,14,7433,op,0.6365985450744628,120,True,True,False,False,884.0,120,0.9831353223738244,0.003416139166802168,1954
17,0,14,7433,op,-0.12633333333333344,119,True,False,False,True,893.0,119,0.9821521870514506,0.000948013155721128,2073
18,0,14,7433,op,-0.17766666666666675,112,True,False,False,True,900.0,112,0.9811700348643991,0.0008436439675278962,2185
19,0,14,7433,op,-0.15566666666666676,115,True,False,False,True,887.0,115,0.9801888648295347,0.0020503071136772633,2300
20,0,14,7433,op,-0.14833333333333343,116,True,False,False,True,883.0,116,0.9792086759647052,0.002178886439651251,2416
21,0,14,7433,op,-0.13366666666666677,118,True,False,False,True,867.0,118,0.9782294672887405,0.0009671645821072161,2534
22,0,14,7433,op,0.6341102895736693,120,True,True,False,False,893.0,120,0.9772512378214517,0.0026145887095481157,2654
23,0,14,7433,op,-0.20700000000000007,108,True,False,False,True,893.0,108,0.9762739865836303,0.0016168470028787851,2762
